"","group","date","count"
"166","professional_gap","2016-03-07",26
"167","reproductive_rights","2016-03-07",109
"168","violence_against_women","2016-03-07",115
"169","feminism","2016-03-08",792
"170","intersectionality","2016-03-08",266
"171","men","2016-03-08",39
"172","professional_gap","2016-03-08",22
"173","reproductive_rights","2016-03-08",365
"174","violence_against_women","2016-03-08",108
"175","feminism","2016-03-09",184
"176","intersectionality","2016-03-09",187
"177","men","2016-03-09",20
"178","professional_gap","2016-03-09",30
"179","reproductive_rights","2016-03-09",182
"180","violence_against_women","2016-03-09",152
"181","feminism","2016-03-10",243
"182","intersectionality","2016-03-10",178
"183","men","2016-03-10",43
"184","professional_gap","2016-03-10",16
"185","reproductive_rights","2016-03-10",133
"186","violence_against_women","2016-03-10",65
"187","feminism","2016-03-11",345
"188","intersectionality","2016-03-11",125
"189","men","2016-03-11",19
"190","professional_gap","2016-03-11",24
"191","reproductive_rights","2016-03-11",65
"192","violence_against_women","2016-03-11",92
"193","feminism","2016-03-12",233
"194","intersectionality","2016-03-12",355
"195","men","2016-03-12",32
"196","professional_gap","2016-03-12",16
"197","reproductive_rights","2016-03-12",53
"198","violence_against_women","2016-03-12",90
"199","feminism","2016-03-13",311
"200","intersectionality","2016-03-13",175
"201","men","2016-03-13",26
"202","professional_gap","2016-03-13",7
"203","reproductive_rights","2016-03-13",67
"204","violence_against_women","2016-03-13",102
"205","feminism","2016-03-14",200
"206","intersectionality","2016-03-14",258
"207","men","2016-03-14",50
"208","professional_gap","2016-03-14",24
"209","reproductive_rights","2016-03-14",89
"210","violence_against_women","2016-03-14",72
"211","feminism","2016-03-15",222
"212","intersectionality","2016-03-15",130
"213","men","2016-03-15",24
"214","professional_gap","2016-03-15",22
"215","reproductive_rights","2016-03-15",66
"216","violence_against_women","2016-03-15",96
"217","feminism","2016-03-16",565
"218","intersectionality","2016-03-16",99
"219","men","2016-03-16",57
"220","professional_gap","2016-03-16",21
"221","reproductive_rights","2016-03-16",94
"222","violence_against_women","2016-03-16",68
"223","feminism","2016-03-17",215
"224","intersectionality","2016-03-17",72
"225","men","2016-03-17",227
"226","professional_gap","2016-03-17",22
"227","reproductive_rights","2016-03-17",114
"228","violence_against_women","2016-03-17",70
"229","feminism","2016-03-18",254
"230","intersectionality","2016-03-18",131
"231","men","2016-03-18",50
"232","professional_gap","2016-03-18",11
"233","reproductive_rights","2016-03-18",66
"234","violence_against_women","2016-03-18",119
"235","feminism","2016-03-19",124
"236","intersectionality","2016-03-19",78
"237","men","2016-03-19",22
"238","professional_gap","2016-03-19",12
"239","reproductive_rights","2016-03-19",58
"240","violence_against_women","2016-03-19",56
"241","feminism","2016-03-20",148
"242","intersectionality","2016-03-20",56
"243","men","2016-03-20",38
"244","professional_gap","2016-03-20",16
"245","reproductive_rights","2016-03-20",88
"246","violence_against_women","2016-03-20",78
"247","feminism","2016-03-21",161
"248","intersectionality","2016-03-21",83
"249","men","2016-03-21",32
"250","professional_gap","2016-03-21",14
"251","reproductive_rights","2016-03-21",46
"252","violence_against_women","2016-03-21",104
"253","feminism","2016-03-22",200
"254","intersectionality","2016-03-22",110
"255","men","2016-03-22",214
"256","professional_gap","2016-03-22",7
"257","reproductive_rights","2016-03-22",59
"258","violence_against_women","2016-03-22",75
"259","feminism","2016-03-23",133
"260","intersectionality","2016-03-23",107
"261","men","2016-03-23",26
"262","professional_gap","2016-03-23",16
"263","reproductive_rights","2016-03-23",60
"264","violence_against_women","2016-03-23",58
"265","feminism","2016-03-24",85
"266","intersectionality","2016-03-24",133
"267","men","2016-03-24",18
"268","professional_gap","2016-03-24",5
"269","reproductive_rights","2016-03-24",64
"270","violence_against_women","2016-03-24",56
"271","feminism","2016-03-25",151
"272","intersectionality","2016-03-25",91
"273","men","2016-03-25",1347
"274","professional_gap","2016-03-25",8
"275","reproductive_rights","2016-03-25",48
"276","violence_against_women","2016-03-25",161
"277","feminism","2016-03-26",121
"278","intersectionality","2016-03-26",87
"279","men","2016-03-26",537
"280","professional_gap","2016-03-26",9
"281","reproductive_rights","2016-03-26",45
"282","violence_against_women","2016-03-26",88
"283","feminism","2016-03-27",111
"284","intersectionality","2016-03-27",154
"285","men","2016-03-27",194
"286","professional_gap","2016-03-27",8
"287","reproductive_rights","2016-03-27",33
"288","violence_against_women","2016-03-27",58
"289","feminism","2016-03-28",221
"290","intersectionality","2016-03-28",298
"291","men","2016-03-28",117
"292","professional_gap","2016-03-28",9
"293","reproductive_rights","2016-03-28",71
"294","violence_against_women","2016-03-28",65
"295","feminism","2016-03-29",525
"296","intersectionality","2016-03-29",228
"297","men","2016-03-29",121
"298","professional_gap","2016-03-29",9
"299","reproductive_rights","2016-03-29",362
"300","violence_against_women","2016-03-29",132
"301","feminism","2016-03-30",251
"302","intersectionality","2016-03-30",301
"303","men","2016-03-30",197
"304","professional_gap","2016-03-30",19
"305","reproductive_rights","2016-03-30",726
"306","violence_against_women","2016-03-30",73
"307","feminism","2016-03-31",241
"308","intersectionality","2016-03-31",125
"309","men","2016-03-31",93
"310","professional_gap","2016-03-31",14
"311","reproductive_rights","2016-03-31",1225
"312","violence_against_women","2016-03-31",60
"313","feminism","2016-04-01",206
"314","intersectionality","2016-04-01",162
"315","men","2016-04-01",56
"316","professional_gap","2016-04-01",25
"317","reproductive_rights","2016-04-01",712
"318","violence_against_women","2016-04-01",62
"319","feminism","2016-04-02",344
"320","intersectionality","2016-04-02",104
"321","men","2016-04-02",41
"322","professional_gap","2016-04-02",18
"323","reproductive_rights","2016-04-02",236
"324","violence_against_women","2016-04-02",78
"325","feminism","2016-04-03",112
"326","intersectionality","2016-04-03",74
"327","men","2016-04-03",48
"328","professional_gap","2016-04-03",16
"329","reproductive_rights","2016-04-03",510
"330","violence_against_women","2016-04-03",127
"331","feminism","2016-04-04",44
"332","intersectionality","2016-04-04",26
"333","men","2016-04-04",8
"334","professional_gap","2016-04-04",13
"335","reproductive_rights","2016-04-04",252
"336","violence_against_women","2016-04-04",51
"337","feminism","2016-04-05",439
"338","intersectionality","2016-04-05",57
"339","men","2016-04-05",22
"340","professional_gap","2016-04-05",39
"341","reproductive_rights","2016-04-05",225
"342","violence_against_women","2016-04-05",47
"343","feminism","2016-04-06",258
"344","intersectionality","2016-04-06",85
"345","men","2016-04-06",12
"346","professional_gap","2016-04-06",13
"347","reproductive_rights","2016-04-06",86
"348","violence_against_women","2016-04-06",93
"349","feminism","2016-04-07",249
"350","intersectionality","2016-04-07",86
"351","men","2016-04-07",24
"352","professional_gap","2016-04-07",13
"353","reproductive_rights","2016-04-07",80
"354","violence_against_women","2016-04-07",79
"355","feminism","2016-04-08",550
"356","intersectionality","2016-04-08",163
"357","men","2016-04-08",37
"358","professional_gap","2016-04-08",20
"359","reproductive_rights","2016-04-08",140
"360","violence_against_women","2016-04-08",81
"361","feminism","2016-04-09",298
"362","intersectionality","2016-04-09",103
"363","men","2016-04-09",21
"364","professional_gap","2016-04-09",29
"365","reproductive_rights","2016-04-09",100
"366","violence_against_women","2016-04-09",141
"367","feminism","2016-04-10",234
"368","intersectionality","2016-04-10",91
"369","men","2016-04-10",20
"370","professional_gap","2016-04-10",19
"371","reproductive_rights","2016-04-10",77
"372","violence_against_women","2016-04-10",51
"373","feminism","2016-04-11",235
"374","intersectionality","2016-04-11",262
"375","men","2016-04-11",25
"376","professional_gap","2016-04-11",19
"377","reproductive_rights","2016-04-11",108
"378","violence_against_women","2016-04-11",89
"379","feminism","2016-04-12",248
"380","intersectionality","2016-04-12",1010
"381","men","2016-04-12",19
"382","professional_gap","2016-04-12",877
"383","reproductive_rights","2016-04-12",92
"384","violence_against_women","2016-04-12",63
"385","feminism","2016-04-13",98
"386","intersectionality","2016-04-13",538
"387","men","2016-04-13",30
"388","professional_gap","2016-04-13",431
"389","reproductive_rights","2016-04-13",58
"390","violence_against_women","2016-04-13",57
"391","feminism","2016-04-14",474
"392","intersectionality","2016-04-14",214
"393","men","2016-04-14",128
"394","professional_gap","2016-04-14",75
"395","reproductive_rights","2016-04-14",74
"396","violence_against_women","2016-04-14",103
"397","feminism","2016-04-15",434
"398","intersectionality","2016-04-15",559
"399","men","2016-04-15",47
"400","professional_gap","2016-04-15",48
"401","reproductive_rights","2016-04-15",1008
"402","violence_against_women","2016-04-15",127
"403","feminism","2016-04-16",263
"404","intersectionality","2016-04-16",200
"405","men","2016-04-16",47
"406","professional_gap","2016-04-16",25
"407","reproductive_rights","2016-04-16",239
"408","violence_against_women","2016-04-16",107
"409","feminism","2016-04-17",223
"410","intersectionality","2016-04-17",128
"411","men","2016-04-17",52
"412","professional_gap","2016-04-17",20
"413","reproductive_rights","2016-04-17",76
"414","violence_against_women","2016-04-17",134
"415","feminism","2016-04-18",336
"416","intersectionality","2016-04-18",133
"417","men","2016-04-18",67
"418","professional_gap","2016-04-18",32
"419","reproductive_rights","2016-04-18",108
"420","violence_against_women","2016-04-18",119
"421","feminism","2016-04-19",388
"422","intersectionality","2016-04-19",86
"423","men","2016-04-19",40
"424","professional_gap","2016-04-19",59
"425","reproductive_rights","2016-04-19",186
"426","violence_against_women","2016-04-19",100
"427","feminism","2016-04-20",220
"428","intersectionality","2016-04-20",165
"429","men","2016-04-20",56
"430","professional_gap","2016-04-20",81
"431","reproductive_rights","2016-04-20",77
"432","violence_against_women","2016-04-20",74
"433","feminism","2016-04-21",132
"434","intersectionality","2016-04-21",95
"435","men","2016-04-21",35
"436","professional_gap","2016-04-21",36
"437","reproductive_rights","2016-04-21",84
"438","violence_against_women","2016-04-21",86
"439","feminism","2016-04-22",177
"440","intersectionality","2016-04-22",68
"441","men","2016-04-22",35
"442","professional_gap","2016-04-22",28
"443","reproductive_rights","2016-04-22",95
"444","violence_against_women","2016-04-22",55
"445","feminism","2016-04-23",143
"446","intersectionality","2016-04-23",45
"447","men","2016-04-23",25
"448","professional_gap","2016-04-23",15
"449","reproductive_rights","2016-04-23",77
"450","violence_against_women","2016-04-23",59
"451","feminism","2016-04-24",216
"452","intersectionality","2016-04-24",95
"453","men","2016-04-24",38
"454","professional_gap","2016-04-24",15
"455","reproductive_rights","2016-04-24",80
"456","violence_against_women","2016-04-24",215
"457","feminism","2016-04-25",183
"458","intersectionality","2016-04-25",115
"459","men","2016-04-25",24
"460","professional_gap","2016-04-25",15
"461","reproductive_rights","2016-04-25",84
"462","violence_against_women","2016-04-25",138
"463","feminism","2016-04-26",659
"464","intersectionality","2016-04-26",338
"465","men","2016-04-26",73
"466","professional_gap","2016-04-26",57
"467","reproductive_rights","2016-04-26",123
"468","violence_against_women","2016-04-26",90
"469","feminism","2016-04-27",2205
"470","intersectionality","2016-04-27",118
"471","men","2016-04-27",99
"472","professional_gap","2016-04-27",36
"473","reproductive_rights","2016-04-27",150
"474","violence_against_women","2016-04-27",174
"475","feminism","2016-04-28",1250
"476","intersectionality","2016-04-28",68
"477","men","2016-04-28",49
"478","professional_gap","2016-04-28",14
"479","reproductive_rights","2016-04-28",199
"480","violence_against_women","2016-04-28",141
"481","feminism","2016-04-29",1371
"482","intersectionality","2016-04-29",74
"483","men","2016-04-29",89
"484","professional_gap","2016-04-29",26
"485","reproductive_rights","2016-04-29",163
"486","violence_against_women","2016-04-29",151
"487","feminism","2016-04-30",645
"488","intersectionality","2016-04-30",71
"489","men","2016-04-30",69
"490","professional_gap","2016-04-30",19
"491","reproductive_rights","2016-04-30",67
"492","violence_against_women","2016-04-30",141
